"id","cat_name","last_mod"
"1","British Ale","2010-10-24 13:50:10"
"2","Irish Ale","2010-06-08 00:00:00"
"3","North American Ale","2010-06-08 00:00:00"
"4","German Ale","2010-06-08 00:00:00"
"5","Belgian and French Ale","2010-06-08 00:00:00"
"6","International Ale","2010-06-08 00:00:00"
"7","German Lager","2010-06-08 00:00:00"
"8","North American Lager","2010-06-08 00:00:00"
"9","Other Lager","2010-06-08 00:00:00"
"10","International Lager","2010-06-08 00:00:00"
"11","Other Style","2010-06-08 00:00:00"
